"Category","Path"
"A. production source/configuration required for Atlas","android/app/src/main/res/values/ic_launcher_background.xml"
"A. production source/configuration required for Atlas","android/app/src/main/res/values/strings.xml"
"A. production source/configuration required for Atlas","android/app/src/main/res/values/styles.xml"
"A. production source/configuration required for Atlas","android/app/src/main/res/xml/file_paths.xml"
"A. production source/configuration required for Atlas","android/app/src/main/res/xml/network_security_config.xml"
"A. production source/configuration required for Atlas","android/app/src/test/java/com/getcapacitor/myapp/ExampleUnitTest.java"
"A. production source/configuration required for Atlas","android/build.gradle"
"A. production source/configuration required for Atlas","android/capacitor.settings.gradle"
"A. production source/configuration required for Atlas","android/gradle/wrapper/gradle-wrapper.jar"
"A. production source/configuration required for Atlas","android/gradle/wrapper/gradle-wrapper.properties"
"A. production source/configuration required for Atlas","android/gradlew"
"A. production source/configuration required for Atlas","android/gradlew.bat"
"A. production source/configuration required for Atlas","android/settings.gradle"
"A. production source/configuration required for Atlas","android/variables.gradle"
"A. production source/configuration required for Atlas","capacitor.config.ts"
"A. production source/configuration required for Atlas","index.html"
"A. production source/configuration required for Atlas","install-codeblack-ops.ps1"
"A. production source/configuration required for Atlas","package.json"
"A. production source/configuration required for Atlas","package-lock.json"
"A. production source/configuration required for Atlas","public/atlas-fixture-ref.svg"
"A. production source/configuration required for Atlas","public/manifest.webmanifest"
"A. production source/configuration required for Atlas","public/sw.js"
"A. production source/configuration required for Atlas","src/App.tsx"
"A. production source/configuration required for Atlas","src/components/cards/EventsCard.tsx"
"A. production source/configuration required for Atlas","src/components/cards/GpsCard.tsx"
"A. production source/configuration required for Atlas","src/components/cards/PowerCard.tsx"
"A. production source/configuration required for Atlas","src/components/cards/SensorHealthCard.tsx"
"A. production source/configuration required for Atlas","src/components/cards/SystemCard.tsx"
"A. production source/configuration required for Atlas","src/components/cards/WeatherCard.tsx"
"A. production source/configuration required for Atlas","src/components/cards/WindCard.tsx"
"A. production source/configuration required for Atlas","src/components/layout/TopBar.tsx"
"A. production source/configuration required for Atlas","src/components/operations/PiEndpointPanel.tsx"
"A. production source/configuration required for Atlas","src/components/operations/RadarEndpointPanel.tsx"
"A. production source/configuration required for Atlas","src/components/situational/Panels.tsx"
"A. production source/configuration required for Atlas","src/components/ui/DashCard.tsx"
"A. production source/configuration required for Atlas","src/components/ui/MetricRow.tsx"
"A. production source/configuration required for Atlas","src/components/ui/StatusBadge.tsx"
"A. production source/configuration required for Atlas","src/hooks/useAlertProducts.ts"
"A. production source/configuration required for Atlas","src/hooks/useSituationalData.ts"
"A. production source/configuration required for Atlas","src/hooks/useTabletLocation.ts"
"A. production source/configuration required for Atlas","src/index.css"
"A. production source/configuration required for Atlas","src/main.tsx"
"A. production source/configuration required for Atlas","src/map/AtlasCameraController.ts"
"A. production source/configuration required for Atlas","src/map/AtlasDiagnostics.ts"
"A. production source/configuration required for Atlas","src/map/AtlasMap.tsx"
"A. production source/configuration required for Atlas","src/map/AtlasRadarLayer.ts"
"A. production source/configuration required for Atlas","src/map/AtlasRangeRingLayer.ts"
"A. production source/configuration required for Atlas","src/map/AtlasReconGlPage.tsx"
"A. production source/configuration required for Atlas","src/map/AtlasStyleManager.ts"
"A. production source/configuration required for Atlas","src/map/AtlasVehicleLayer.ts"
"A. production source/configuration required for Atlas","src/map/types.ts"
"A. production source/configuration required for Atlas","src/pages/GPS.tsx"
"A. production source/configuration required for Atlas","src/pages/Settings.tsx"
"A. production source/configuration required for Atlas","src/pages/Weather.tsx"
"A. production source/configuration required for Atlas","src/pages/Wind.tsx"
"A. production source/configuration required for Atlas","src/services/mapTiles.ts"
"A. production source/configuration required for Atlas","src/services/settings.ts"
"A. production source/configuration required for Atlas","src/services/situational.ts"
"A. production source/configuration required for Atlas","src/services/sound.ts"
"A. production source/configuration required for Atlas","src/services/telemetry/api-provider.ts"
"A. production source/configuration required for Atlas","src/services/telemetry/index.ts"
"A. production source/configuration required for Atlas","src/services/telemetry/quality.ts"
"A. production source/configuration required for Atlas","src/services/telemetry/simulator.ts"
"A. production source/configuration required for Atlas","src/services/telemetry/types.ts"
"A. production source/configuration required for Atlas","start-radar-worker.ps1"
"A. production source/configuration required for Atlas","start-radar-worker.sh"
"B. radar implementation source required by the application","android/app/src/main/java/com/codeblackwx/ops/radar/RadarForegroundService.java"
"B. radar implementation source required by the application","android/app/src/main/java/com/codeblackwx/ops/radar/RadarNativePlugin.java"
"B. radar implementation source required by the application","android/app/src/main/java/com/codeblackwx/ops/radar/RadarSite.java"
"B. radar implementation source required by the application","android/app/src/main/java/com/codeblackwx/ops/radar/RadarSites.java"
"B. radar implementation source required by the application","android/app/src/main/jniLibs/arm64-v8a/libcodeblack_radar.so"
"B. radar implementation source required by the application","native/radar-ref/Cargo.lock"
"B. radar implementation source required by the application","native/radar-ref/Cargo.toml"
"B. radar implementation source required by the application","native/radar-ref/rust-toolchain.toml"
"B. radar implementation source required by the application","native/radar-ref/src/lib.rs"
"B. radar implementation source required by the application","src/services/radar.ts"
"C. QA documentation worth preserving","docs/on-device-radar-architecture.md"
"C. QA documentation worth preserving","native/radar-ref/README.md"
"C. QA documentation worth preserving","qa-atlas-recon-tag.txt"
"C. QA documentation worth preserving","qa-atlas-recovery-apk-hash.txt"
"C. QA documentation worth preserving","qa-atlas-recovery-commit.txt"
"C. QA documentation worth preserving","qa-atlas-recovery-tag.txt"
"C. QA documentation worth preserving","qa-screenshots/beta1/ksgf-sn-last-p41et.bin"
"C. QA documentation worth preserving","qa-screenshots/beta1/tablet-current.png"
"C. QA documentation worth preserving","qa-screenshots/beta1/tablet-expanded-cc.png"
"C. QA documentation worth preserving","qa-screenshots/beta1/tablet-expanded-et.png"
"C. QA documentation worth preserving","qa-screenshots/beta1/tablet-expanded-srv.png"
"C. QA documentation worth preserving","qa-screenshots/beta1/tablet-map-area.png"
"C. QA documentation worth preserving","qa-screenshots/beta1/tablet-page1-vel.png"
"C. QA documentation worth preserving","qa-screenshots/beta1/tablet-page2-diagnostics.png"
"C. QA documentation worth preserving","qa-screenshots/beta1-close/expanded-cc.png"
"C. QA documentation worth preserving","qa-screenshots/beta1-close/expanded-ref.png"
"C. QA documentation worth preserving","qa-screenshots/beta1-close/expanded-srv.png"
"C. QA documentation worth preserving","qa-screenshots/beta1-close/expanded-vel.png"
"C. QA documentation worth preserving","qa-screenshots/beta1-close/offline-cached-frame.png"
"C. QA documentation worth preserving","qa-screenshots/beta1-close/page1-radar.png"
"C. QA documentation worth preserving","qa-screenshots/beta1-close/page2-diagnostics.png"
"C. QA documentation worth preserving","qa-screenshots/beta1-close/product-switch-final.png"
"C. QA documentation worth preserving","qa-screenshots/beta1-close/short-logcat.txt"
"C. QA documentation worth preserving","qa-screenshots/beta1-close/short-stability.txt"
"C. QA documentation worth preserving","qa-screenshots/beta1-close/soak-mem.txt"
"C. QA documentation worth preserving","qa-screenshots/beta1-close/soak-start.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-before-expanded-base.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-before-expanded-radar.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-final-integration-page1.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-final-integration-page1b.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-final-integration-page1-final.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-final-integration-page2.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-final-integration-page2b.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-final-integration-page2-final.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-final-page1.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-final-page2.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-ondevice-page1.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-ondevice-page1-final.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-ondevice-page2.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-ondevice-page2-final.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-radar-rescue-after-back.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-radar-rescue-back-final.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-radar-rescue-expanded-final.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-radar-rescue-expanded-final-warm.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-radar-rescue-expanded-ref.png"
"C. QA documentation worth preserving","qa-screenshots/codeblack-radar-rescue-page1.png"
"C. QA documentation worth preserving","qa-screenshots/expanded-ref.png"
"C. QA documentation worth preserving","qa-screenshots/expanded-ref-2.png"
"C. QA documentation worth preserving","qa-screenshots/expanded-ref-final.png"
"C. QA documentation worth preserving","qa-screenshots/final-expanded.png"
"C. QA documentation worth preserving","qa-screenshots/final-page1.png"
"C. QA documentation worth preserving","qa-screenshots/final-page2.png"
"C. QA documentation worth preserving","qa-screenshots/map-polish/back-page1-after.png"
"C. QA documentation worth preserving","qa-screenshots/map-polish/expanded-cc-after.png"
"C. QA documentation worth preserving","qa-screenshots/map-polish/expanded-ref-after.png"
"C. QA documentation worth preserving","qa-screenshots/map-polish/expanded-srv-after.png"
"C. QA documentation worth preserving","qa-screenshots/map-polish/expanded-vel-after.png"
"C. QA documentation worth preserving","qa-screenshots/map-polish/page1-after.png"
"C. QA documentation worth preserving","qa-screenshots/map-polish/page1-landscape-after.png"
"C. QA documentation worth preserving","qa-screenshots/map-polish/page1-map-after.png"
"C. QA documentation worth preserving","qa-screenshots/map-polish/page2-map-diagnostics.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas/atlas-after-back-active.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas/atlas-back-page1.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas/atlas-expanded-cc.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas/atlas-expanded-cc-active.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas/atlas-expanded-ref.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas/atlas-expanded-ref-active.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas/atlas-expanded-srv.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas/atlas-expanded-vel.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas/atlas-logcat-filtered.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas/atlas-meminfo-final.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas/atlas-page1-ref.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas/atlas-page1-ref-active.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas/atlas-page1-ref-after-wait.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas/atlas-page2-diagnostics.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas/atlas-page2-diagnostics-active.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas/atlas-page2-scrolled.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas/initial-after-install.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas/legacy-restored-page1.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/01-atlas-page1-start.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/02-atlas-page1-rebuilt.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-after-corrected-expanded-back.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-after-corrected-expanded-back-20260729-171053-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-after-corrected-expanded-back-20260729-171053-logcat.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-after-corrected-expanded-back-20260729-171053-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-after-expanded-back.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-after-expanded-back-final.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-baseline-after-legacy-20260729-163238.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-baseline-after-legacy-20260729-163238-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-baseline-after-legacy-20260729-163238-logcat.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-baseline-after-legacy-20260729-163238-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-deadband-page1-20260729-163148.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-deadband-page1-20260729-163148-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-deadband-page1-20260729-163148-logcat.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-deadband-page1-20260729-163148-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-after-product-captures-20260729-171045-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-after-product-captures-20260729-171045-logcat.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-after-product-captures-20260729-171045-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-cc.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-cc-corrected.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-cc-final.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-initial.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-open-corrected.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-open-corrected-20260729-171009-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-open-corrected-20260729-171009-logcat.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-open-corrected-20260729-171009-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-ref.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-ref-corrected.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-ref-final.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-srv.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-srv-corrected.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-srv-final.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-vel.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-vel-corrected.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-expanded-vel-final.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-final-approved-20260729-174559-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-final-approved-20260729-174559-logcat.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-final-approved-20260729-174559-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-final-approved-page1.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-final-page1-weather-fixed.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-final-page2-diagnostics-20260729-170847-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-final-page2-diagnostics-20260729-170847-logcat.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-final-page2-diagnostics-20260729-170847-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-free-pan-mode.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-heading-follow-mode.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-lifecycle-results.md"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-lock-in-report.md"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-logcat-filtered.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-logcat-filtered-expanded-corrected.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-memory-summary.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-memory-timeline.csv"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-memory-timeline-expanded-corrected.csv"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-memory-timeline-page1-first-run.csv"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-north-or-recenter-mode.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-page1-basemap-only-no-radar.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-page1-cc.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-page1-ref.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-page1-ref-final.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-page1-srv.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-page1-vel.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-page2-diagnostics.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-production-gate.md"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-product-switch-results.md"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-rebuilt-page1-20260729-163015.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-rebuilt-page1-20260729-163015-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-rebuilt-page1-20260729-163015-logcat.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-rebuilt-page1-20260729-163015-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-recentered-mode.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-runtime-counters.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-stress-status.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/atlas-stress-status-expanded-corrected.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/capture-device-snapshot.ps1"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/devtools-dump.cjs"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/devtools-eval.cjs"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/ending-checkpoint.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/legacy-baseline-20260729-163228.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/legacy-baseline-20260729-163228-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/legacy-baseline-20260729-163228-logcat.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/legacy-baseline-20260729-163228-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/logcat-01-atlas-start.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/memory-01-atlas-start.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/memory-02-atlas-rebuilt.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/run-atlas-stress.ps1"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/run-atlas-stress-expanded-corrected.ps1"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/start-apk-sha256.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/start-checkpoint.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/start-commit.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/start-git-status.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-idle-plus-120s-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-idle-plus-120s-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-start-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-start-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-t0-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-t0-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-t1200-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-t1200-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-t1500-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-t1500-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-t1800-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-t1800-final-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-t1800-final-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-t1800-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-t300-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-t300-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-t600-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-t600-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-t900-devtools.json"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-lock-in/stress-t900-meminfo.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-recon/01-gljs-minimal-night.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-recon/02-gljs-minimal-bright.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-recon/03-full-atlas-page1.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-recon/07-native-night-basemap.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-recon/08-native-bright-basemap.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-recon/14-native-heading-up.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-recon/17-legacy-page1.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-recon/19-native-poc-clean.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-recon/final-installed-legacy.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-recon/final-main-after-recon.png"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-recon/logcat-final-errors.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-recon/logcat-full-atlas-page1.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-recon/logcat-gljs-minimal-bright.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-recon/logcat-gljs-minimal-night.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-recon/logcat-native-20-open-close.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-recon/logcat-native-night.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-recon/memory-full-atlas-page1.txt"
"C. QA documentation worth preserving","qa-screenshots/operation-atlas-recon/memory-gljs-minimal-bright.txt"
